Year,Deaths,Population,Crude Rate
1999,563065,279040168,201.8
2000,566637,281421906,201.3
2001,567444,284968955,199.1
2002,570570,287625193,198.4
2003,570465,290107933,196.6
2004,567468,292805298,193.8
2005,573022,295516599,193.9
2006,574010,298379912,192.4
2007,577079,301231207,191.6
2008,579939,304093966,190.7
2009,582233,306771529,189.8
2010,589660,308745538,191
2011,591688,311591917,189.9
2012,597679,313914040,190.4
2013,600113,316128839,189.8
2014,607739,318857056,190.6
2015,612207,321418820,190.5
2016,613832,323127513,190
2017,614932,325719178,188.8
2018,614914,327167434,188
